SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax
 M43L70PI              492     21.84     84.51     30.00       348     83.18     60.00       272     85.84     30.00       377       997
 M43L71PO              492      8.35     27.68     60.00        37     27.53     60.00        87     29.10     60.00        66       190
 M43L71PI              492      8.37     27.91     60.00        33     27.33     60.00       103     27.94     60.00        37       173
 M43L73PO              492      8.32     36.29     60.00        51     36.12     60.00       131     36.57     60.00        62       244
 M43L73PI              492      8.32     36.19     60.00        37     36.15     60.00        99     36.80     60.00        53       189
 M43L80PI              492     14.28     58.87     60.00        85     58.30     60.00       146     60.03     60.00        59       290
 M43L80PO              492     14.36     59.59     60.00        39     58.85     60.00       158     60.34     60.00        79       276
 M43L81PO              492     10.92     45.99     60.00        63     45.71     60.00       164     46.00     60.00        45       272
 M43L81PI              492     10.95     45.89     60.00        26     45.76     60.00       135     46.81     60.00        65       226
 M43L91PI              492     20.38     78.50     60.00       205     76.59     60.00       609     83.29     60.00       292      1106
 M43L91PO              492     19.97     80.55     60.00       203     77.10     60.00       533     81.37     60.00       173       909
 M43L910PI             492     14.74     57.20     60.00       151     56.11     60.00       445     61.46     60.00       172       768
 M43L910PO             492     14.74     59.31     60.00       121     56.25     60.00       392     59.11     60.00       150       663
 M43L92PO              492     14.84     48.37     60.00       167     45.60     60.00       395     50.58     60.00       143       705
 M43L92PI              492     17.81     56.95     60.00       128     56.14     60.00       412     63.31     60.00       260       800
 M43L94PI              492      3.45     10.95     20.00        56     10.96     30.00        96     12.72     20.00       192       344
 M43L94PO              492      6.88     27.40     20.00       389     25.66     30.00       302     26.45     20.00       364      1055
 M43L10PI              492     13.37     45.74     60.00        87     45.52     60.00       198     46.24     60.00       127       412
 M43L10PO              492     17.06     59.61     60.00       172     59.29     60.00       204     60.39     60.00       183       559
 M43L21PI              492     15.05     60.68     60.00        44     59.81     60.00       126     60.70     60.00        47       217
 M43L21PO              492     15.40     62.50     75.00        30     62.31     60.00       119     63.47     60.00        43       192
 M43L49PI              492      6.75     27.54     60.00        64     25.66     60.00        91     28.75     60.00        67       222
 M43L49PO              492      6.73     25.37     75.00        32     23.91     60.00        86     27.16     75.00        31       149
 M43L95PI              451     27.25     37.15    120.00        16     35.17     60.00        16     38.56     75.00         8        40
 M43L11PI              451     30.19     42.90    120.00         8     41.45     60.00        12     44.61    120.00         8        28
 M43L11PO              451     29.59     40.98    120.00         8     40.00     60.00         8     42.50    120.00         0        16
 M11L204PI             191      3.54     14.81     60.00        20     14.69     60.00        10     15.49     60.00         4        34
 M11L204PO             191      5.66     26.43     60.00         2     26.13     60.00         0     28.08     60.00         3         5
 M11L300PI             191      6.72     14.55     30.00        12     14.21     60.00         0     14.72     60.00         0        12
 M11L300PO             191      6.72     15.22     30.00        12     14.94     60.00         0     15.47     60.00         4        16
 M11L302PB             191      5.16     16.53     15.00       169     16.39     25.00        84     17.52     12.00       156       409
 M11L303PB             191      1.74      6.99     12.00        61      6.98     30.00        20      7.25     15.00         4        85
 M11L303PB   -         191      1.74      8.39     12.00         0      8.36     30.00         2      8.40     15.00        46        48
 M11L304PB             191      1.31      3.98     23.00         2      3.98     23.00         4      4.05     30.00         0         6
 M11L304PB   -         191      1.31      3.94     23.00         0      3.94     23.00         0      4.06     30.00         0         0
 M11L305PB             191      2.74     11.05     30.00        32     10.76     30.00        18     11.05     30.00        28        78
 M11L305PB   -         191      2.74     12.86     30.00        22     12.82     30.00        20     13.19     30.00        22        64
 M11L306PB             191      2.74     11.05     30.00        32     10.76     30.00        18     11.05     30.00        28        78
 M11L306PB   -         191      2.74     12.86     30.00        22     12.82     30.00        20     13.19     30.00        22        64
 M11L307PB             191      6.26     20.46     30.00         0     20.39     60.00         0     20.60     30.00         0         0
 M33L1BO               392     13.10     72.00     15.00       683     64.55     15.00      2304     73.89     15.00       984      3971
 M33L1BI               392     13.86     74.03     15.00       781     65.08     15.00      2162     71.02     15.00       794      3737
 M33L2BI               392     26.45    116.74     20.00       964    104.48     30.00      1885    119.28     20.00      1109      3958
 M33L2BO               392     25.29    103.80     20.00       836     95.93     30.00      1653    112.61     20.00       974      3463
 M33L3BI               392     14.48     62.40     60.00        99     57.21     60.00       170     64.31     60.00       105       374
 M33L3BO               392     14.49     62.20     60.00        81     58.20     60.00       193     66.65     60.00       134       408
 M33L4BO               392     14.30     55.73     45.00       121     53.29     45.00       217     59.06     45.00        88       426
 M33L4BI               392     13.45     52.07     45.00        77     49.33     45.00       200     52.91     45.00       119       396
 M33L5BO               392     14.69     63.05     60.00       127     59.53     60.00       248     68.70     60.00       176       551
 M33L5BI               392     14.69     65.97     60.00       150     59.52     60.00       256     66.25     60.00       111       517
 M33L500BO             392     13.00     57.45     60.00       130     54.21     60.00       241     62.59     60.00       166       537
 M33L500BI             392     13.00     60.10     60.00       138     54.22     60.00       254     60.40     60.00       110       502
