SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax
 M23L11MO              292     16.71     76.59     20.00       912     69.77     25.00      1593     84.56     20.00      1443      3948
 M23L12MI              292     14.57     75.30     20.00      1055     60.60     25.00      1301     68.06     20.00       948      3304
 M23L12MO              292     14.77     65.21     20.00       765     60.10     25.00      1270     73.14     20.00      1167      3202
 M23L5MI               292     14.18     76.68     45.00       308     64.00     51.00       298     77.06     48.00       206       812
 M23L5MO               292     14.07     71.95     45.00       178     62.64     51.00       304     77.64     60.00       187       669
 M23L14MI              292     21.21    102.68     11.00      1791     91.28     12.00      3007    117.03     13.00      1612      6410
 M23L14MO              292     21.25    114.46     12.00      1831     91.81     12.00      3347    109.79     12.00      2562      7740
 M23L101MI             292      6.75     21.29     30.00        67     20.19     40.00       110     23.68     30.00       122       299
 M23L101MO             292      6.67     22.50     30.00       156     20.38     40.00        83     22.21     30.00        21       260
 M23L21MI              292     14.01     83.70     60.00        66     72.32     60.00       171     76.96     60.00        64       301
 M23L21MO              292     14.33     77.30     60.00        47     74.52     60.00       193     87.19     60.00        77       317
 M23L22MI              292      5.97     41.10     26.00       124     35.51     30.00       179     36.45     34.00        91       394
 M23L22MO              292      6.55     40.47     30.00        72     39.93     28.00       273     44.97     34.00       103       448
 M23L23MI              292     16.60    104.25     16.00      1071     90.05     12.00      2882     97.88     20.00       892      4845
 M23L23MO              292     17.14     93.97     20.00       463     90.79     18.00      2244    108.80     17.00      1162      3869
 M23L24MI              292     15.77     80.64    180.00         3     73.42     60.00        15     85.20     80.00        14        32
 M23L24MO              292     16.07     83.33     90.00         4     75.41     60.00        33     85.63    120.00         9        46
 M23L25MI              292     14.05     80.84     26.00       589     67.16     36.00       806     75.11     48.00       221      1616
 M23L25MO              292     14.69     76.02     26.00       271     72.50     36.00       743     90.50     30.00       551      1565
 M23L26MI              292      7.16     42.40     30.00       172     36.47     24.00       377     42.69     40.00       121       670
 M23L26MO              292      7.80     44.77     30.00        99     41.39     36.00       291     48.47     34.00       170       560
 M23L27MI              292     12.66     78.53     26.00       456     61.57     28.00       702     66.31     30.00       460      1618
 M23L27MO              292     12.46     60.84     23.00       385     59.36     33.00       612     79.35     27.00       464      1461
 M23L28MI              292     10.15     67.06     36.00       244     51.38      0.00         0     55.60     60.00       192       436
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M23L28MO              292      9.95     49.34    180.00        34     48.56      0.00         0     66.85     48.00       191       225
 M23L29MI              292     11.69     73.50     30.00       339     56.80     30.00       654     61.28     34.00       376      1369
 M23L29MO              292     11.49     55.65     30.00       230     54.59     28.00       711     74.36     30.00       346      1287
 M23L30MI              292     17.58    100.73     26.00       699     87.42     28.00      1037     96.10     24.00       751      2487
 M23L30MO              292     17.53     88.98     23.00       448     85.66     28.00      1180    101.27     27.00       728      2356
 M23L31MI              292     12.72     78.91     26.00       630     68.01    120.00       218     72.28     60.00       278      1126
 M23L31MO              292     12.67     67.83     30.00       307     66.30     90.00       332     77.16     30.00       583      1222
 M23L32MI              292     13.74     76.81     26.00       395     66.33     30.00       586     70.40     34.00       234      1215
 M23L32MO              292     14.16     70.90     30.00       145     68.81     30.00       614     80.89     30.00       315      1074
 M23L33MI              292     12.10     71.38     18.00       949     54.81     23.00      1727     59.46     24.00       837      3513
 M23L33MO              292     12.30     61.67     18.00       760     60.00     24.00      1888     80.15     18.00      1383      4031
 M23L34MI              292      8.68     53.06     16.00       853     40.21     23.00      1378     43.79     24.00       721      2952
 M23L34MO              292      8.88     46.78     18.00       655     45.34     24.00      1455     62.49     18.00      1042      3152
 M23L35MD              292     13.15     68.91     26.00       422     62.62     30.00       541     67.10     30.00       410      1373
 M23L35MD    -         292     13.15     65.52     30.00       203     62.65     30.00       467     70.33     30.00       466      1136
 M23L36MI              292     11.16     61.07     16.00       473     49.61     30.00       305     54.22     21.00       289      1067
 M23L36MO              292     12.30     58.40     20.00       182     56.25     28.00       425     69.36     20.00       442      1049
 M23L37MD              292     20.65     92.83     30.00       258     88.70     30.00       709    101.99     30.00       541      1508
 M23L37MD    -         292     20.65     98.50     26.00       595     88.85     28.00       833     94.80     40.00       265      1693
 M23L38MD              292      9.74     45.48     45.00        72     42.95      0.00         0     49.77     48.00        96       168
 M23L38MD    -         292      9.74     48.65     36.00       116     43.10      0.00         0     46.38     48.00       109       225
 M23L40MI              292      9.64     58.38     30.00       168     54.06     30.00       174     55.54     34.00       122       464
 M23L40MO              292      9.62     53.01     30.00        95     51.88     30.00       294     56.80     30.00       260       649
 M23L41MI              292     22.33    114.50     45.00       229    100.00     51.00       391    115.70     40.00       354       974
 M23L41MO              292     21.58    109.42     30.00       414     99.75     51.00       340    119.73     34.00       472      1226
 M23L42MI              292     18.28     93.38     36.00       225     81.17     60.00       292     92.19     48.00       212       729
 M23L42MO              292     17.53     87.00     30.00       298     80.98     72.00       204     97.36     60.00       180       682
 M23L43MI              292     17.44    104.14     36.00       437     78.72     36.00       948     84.31     40.00       554      1939
 M23L43MO              292     17.04     79.50     36.00       548     77.30     40.00       890    105.14     34.00       567      2005
 M23L44MI              292     11.15     70.46     90.00       112     54.17     36.00       713     58.66     80.00       218      1043
 M23L44MO              292     10.75     53.85     60.00       272     52.67     40.00       675     71.79     40.00       344      1291
 M23L45MD              292     18.29     98.98     30.00       994     83.73     30.00      1838     94.47     40.00       842      3674
 M23L45MD    -         292     18.29     90.94     30.00       670     84.04     30.00      1865    103.13     34.00      1079      3614
 M23L46MD              292     18.45    101.49     26.00      1307     86.47     28.00      2018     96.40     34.00      1023      4348
 M23L46MD    -         292     18.45     93.38     30.00       708     86.75     30.00      1964    105.84     30.00      1311      3983
 M23L48MI              292     13.27     63.09     45.00       224     54.60     45.00       432     62.53     45.00       238       894
 M23L48MO              292     10.62     48.98     45.00       137     45.73     45.00       340     56.58     45.00       169       646
 M23L103MI             242     10.82     41.39     15.00       356     41.30     30.00       487     41.58     18.00       992      1835
 M23L103MO             242     11.11     41.47     15.00      1183     41.14     26.00       696     41.29     27.00       228      2107
 M23L49MI              292     25.33    126.92     26.00       424    112.08     33.00       590    118.39     34.00       290      1304
 M23L49MO              292     25.31    116.04     30.00       178    112.69     33.00       537    129.87     30.00       409      1124
 M23L50MD              292     12.05     59.56     23.00       687     54.51     30.00       963     65.14     40.00       362      2012
 M23L50MD    -         292     12.05     62.70     26.00       519     54.68     30.00      1010     63.08     34.00       619      2148
 M23L51MI              292     31.09    105.54     30.00       253    104.65     30.00       885    122.75     34.00       611      1749
 M23L51MO              292     31.25    118.25     36.00       505    103.21     30.00       832    106.58     34.00       350      1687
 M23L52MD              292     11.84     64.13     60.00       206     54.40      0.00         0     60.83     60.00       349       555
 M23L52MD    -         292     11.84     56.91     45.00       350     54.29    360.00        72     66.34     80.00       220       642
 M23L520MD             292     17.74     90.36     60.00       264     77.47     60.00       523     86.01     60.00       445      1232
 M23L520MD   -         292     17.74     81.56     60.00       311     77.30     60.00       549     93.27     60.00       358      1218
 M23L53MD              292     11.45     61.15     60.00       205     53.80     60.00       277     59.68     60.00       242       724
 M23L53MD    -         292     11.45     56.38     60.00       163     53.67     60.00       346     62.03     60.00       244       753
 M23L54MI              292     19.63    118.16     30.00       785     93.85     30.00      1745    115.16     30.00      1112      3642
 M23L54MO              292     19.53    114.43     30.00       927     92.60     30.00      1730    116.62     34.00       952      3609
 M23L55MD              292     14.42     82.88     36.00       232     61.29     51.00       331     69.39     34.00       400       963
 M23L55MD-             292     14.42     66.86     36.00       391     61.49     51.00       342     85.56     40.00       285      1018
 M23L56MD              292     12.92     76.84     30.00       361     55.70     60.00       386     58.80     34.00       471      1218
 M23L56MD-             292     13.04     53.29     36.00       442     53.04     60.00       354     76.25     34.00       431      1227
 M23L57MI              292     15.60     91.15     60.00       176     69.74     51.00       736     83.95     80.00       277      1189
 M23L57MO              292     16.12     85.57     60.00       281     70.47     60.00       518     90.36     60.00       252      1051
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M23L570MI             292      8.20     57.42     60.00       118     41.12     60.00       444     53.44     60.00       349       911
 M23L570MO             292      9.00     60.92     45.00       366     46.40     60.00       371     60.36     60.00       219       956
 M23L169MD             292      4.59     24.88     60.00         4     22.90    360.00         0     24.52     60.00         4         8
 M23L169MD   -         292      4.59     24.73     60.00         8     22.80    360.00         0     24.88     60.00         6        14
 M23L58MI              292     10.71     66.26     60.00        59     50.96     60.00       193     57.88     60.00       192       444
 M23L58MO              292     10.71     52.95     60.00        79     49.59     60.00       118     66.33     60.00        71       268
 M23L87MI              292     17.57     71.64     16.00      2278     47.57     30.00      1780     55.09     24.00       879      4937
 M23L87MO              292     16.84     49.94     15.00       734     45.81     26.00      2064     72.69     18.00      1876      4674
 M23L59MI              292     23.02    101.43     30.00       502     88.13     45.00       546     93.81     40.00       251      1299
 M23L59MO              292     22.81     87.25     36.00       182     85.37     45.00       522    102.55     30.00       531      1235
 M23L61MI              292     20.15     93.97     50.00       629     81.51     60.00       847     89.10     50.00       601      2077
 M23L61MO              292     20.15     86.57     50.00       351     81.58     60.00       900     98.59     50.00       798      2049
 M23L610MI             292     14.14     70.81     50.00       401     60.95     60.00       487     67.62     50.00       412      1300
 M23L610MO             292     14.14     64.64     50.00       255     60.91     60.00       504     73.13     50.00       510      1269
 M23L63MI              292     17.99     97.73     36.00       419     74.34     60.00       356     85.87     60.00       301      1076
 M23L63MO              292     17.99     81.38     45.00       322     74.58     51.00       524    100.98     40.00       414      1260
 M23L64MI              292     18.36    105.10     60.00       132     67.74     60.00       445     76.18     60.00       202       779
 M23L64MO              292     19.41     77.89     45.00       179     73.13     60.00       422    110.65     60.00       198       799
 M23L66MI              292      6.65     36.30     30.00       175     33.03     36.00       319     36.80     40.00       140       634
 M23L66MO              292      6.64     32.32     90.00        30     30.34     36.00       221     34.23     34.00       211       462
 M23L67MI              292      3.61     19.38     23.00       106     18.21     33.00       168     19.87     24.00        98       372
 M23L67MO              292      3.56     17.38     23.00        70     16.62     33.00       132     17.75     24.00       144       346
 M23L68MI              292     12.36     61.24      0.00         0     49.14      0.00         0     56.24      0.00         0         0
 M23L68MO              292     12.38     50.44     45.00        81     46.66      0.00         0     58.46    240.00        28       109
 M23L69MI              292     27.65     98.21     30.00       404     93.68     60.00       388     96.02     30.00       319      1111
 M23L69MO              292     27.73     96.07     30.00       277     94.59     60.00       364    100.91     30.00       644      1285
 M23L690MI             292     23.38     85.99     30.00       394     81.75     60.00       328     83.22     30.00       295      1017
 M23L690MO             292     23.38     82.53     30.00       273     81.71     60.00       306     87.39     30.00       612      1191
 M23L70MD              292     11.34     53.28     26.00       304     42.03     60.00       353     45.46     34.00       285       942
 M23L70MD    -         292     11.34     43.23     30.00       283     42.01     60.00       307     55.95     30.00       350       940
 M23L71MD              292     11.73     57.35     60.00        93     42.27     60.00       320     47.16     60.00       143       556
 M23L71MD    -         292     11.73     45.55     60.00       100     42.38     60.00       301     60.13     60.00       115       516
 M23L72MD              292     10.63     52.79     60.00       109     37.81     60.00       342     39.20     60.00       145       596
 M23L72MD    -         292     10.63     37.98     60.00        94     38.02     60.00       305     55.31     60.00       133       532
 M23L73MD              292     23.99    109.58     30.00      1030     97.48     36.00      1797    116.25     40.00      1050      3877
 M23L73MD    -         292     23.99    112.35     30.00       917     97.70     40.00      1586    116.08     30.00      1239      3742
 M23L75MI              292     15.27     71.52     30.00       152     65.27     30.00       323     75.37     30.00       131       606
 M23L75MO              292     16.01     74.68     30.00       169     68.41     30.00       310     78.61     30.00       185       664
 M23L76MI              292     13.32     80.74     16.00      1040     70.63     21.00      1314     72.12     34.00       464      2818
 M23L76MO              292     14.30     86.22     23.00       545     84.56     22.00      1492     97.71     22.00       816      2853
 M23L77MI              292     15.33     89.93     16.00      1168     78.34     20.00      1482     81.93     16.00      1127      3777
 M23L77MO              292     16.31     95.47     14.00       931     92.28     23.00      1560    107.82     15.00      1346      3837
 M23L80MD              292     14.55     77.60     30.00       623     65.52     45.00       784     71.84     34.00       769      2176
 M23L80MD    -         292     14.55     67.37     30.00       893     65.37     45.00       723     77.95     34.00       775      2391
 M23L81MD              292     10.88     57.96     20.00       364     46.63     30.00       813     48.44     20.00       454      1631
 M23L81MD    -         292     10.88     47.30     26.00       162     47.12     30.00       953     61.11     22.00       337      1452
 M23L88MD              242     14.82     49.97     15.00       580     35.55     28.00       260     41.78     19.00       408      1248
 M23L88MD    -         242     14.88     40.21     15.00       360     36.74     30.00       316     53.95     17.00       972      1648
 M23L175MD             292     18.40     71.81     60.00       153     67.26     60.00       392     78.73     40.00       410       955
 M23L175MD   -         292     18.39     75.53     45.00       337     67.99     60.00       416     77.37     48.00       237       990
 M23L575MD             292     12.29     51.26     60.00       114     47.67     60.00       252     57.23    120.00        99       465
 M23L575MD   -         292     12.28     53.73     90.00       116     47.70     60.00       288     55.38    120.00        73       477
 M23L85MD              292     13.75     56.79     26.00       350     56.27     45.00       761     70.33     34.00       259      1370
 M23L85MD    -         292     13.75     67.55     45.00       262     56.26     45.00       963     58.12     30.00       370      1595
 M11L201MI             191      5.85     28.79     60.00         0     26.58     60.00         8     35.47     60.00         0         8
 M11L201MO             191      7.06     38.45     60.00         0     31.13    360.00         0     35.87    120.00         4         4
 M23L93MD              292     24.00     95.89     30.00       678     73.58     45.00       932     78.77     40.00       513      2123
 M23L93MD    -         292     24.00     76.15     30.00       455     73.61     45.00      1040     99.52     40.00       549      2044
 M23L164MD             292      6.18     34.45     90.00        20     29.67      0.00         0     31.44    120.00        16        36
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M23L164MD   -         292      6.18     31.43      0.00         0     29.70      0.00         0     34.48     60.00        30        30
 M23L564MD             292      5.26     29.13    180.00        10     25.36     51.00        54     26.62    240.00         4        68
 M23L564MD   -         292      5.26     26.48    180.00         4     25.35     51.00        62     28.57      0.00         0        66
 M23L163MD             292      6.30     42.08     15.00       359     39.72     20.00       465     43.51     16.00       440      1264
 M23L162MD             292      6.61     48.82     15.00       380     45.34     20.00       627     49.87     16.00       490      1497
 M23L161MD             292      2.96     12.78      0.00         0     11.11     28.00       198     12.12      0.00         0       198
 M23L161MD   -         292      2.96     11.73      0.00         0     11.21     30.00        91     12.47      0.00         0        91
 M23L152MI             292     18.31     91.43     60.00       142     71.59     51.00       548     86.11     48.00       408      1098
 M23L152MO             292     18.13     86.08     45.00       327     72.29     60.00       353     93.60     40.00       252       932
 M23L95MI              292      2.02      4.50     30.00         0      3.36     60.00         0      3.43     30.00         0         0
 M23L95MO              292      2.09      3.47     30.00         0      3.42     60.00         0      4.35     30.00         0         0
 M23L158MI             292      0.95      5.27     20.00         4      5.04     60.00         0      5.33     20.00         0         4
 M23L158MO             292      1.29      8.28     20.00        13      8.13     60.00         5      8.30     20.00        14        32
 M23L157MD             292      2.72     13.85     18.00       326     13.33     18.00       272     16.79     18.00       171       769
 M23L157MD   -         292      2.72     16.61     18.00        71     13.29     18.00       282     14.84     18.00       345       698
 M23L19MD              292     12.79     43.38     23.00       108     42.71     45.00       354     50.18     16.00       945      1407
 M23L19MD    -         292     12.79     46.47     23.00       774     39.86     45.00       287     41.22     17.00       245      1306
 M23L155MI             251     11.27     40.59     23.00        96     33.24      0.00         0     33.73     30.00        20       116
 M23L155MO             251     11.03     33.21     23.00        28     32.92      0.00         0     40.65     22.00       160       188
 M23L18MD              251     12.86     38.32     45.00        24     38.15      0.00         0     41.54     34.00       216       240
 M23L18MD    -         251     12.86     40.48     30.00       272     38.15      0.00         0     38.36     60.00        56       328
 M23L114MD             251      5.39     16.59     60.00         4     16.91     60.00         8     17.87     60.00         4        16
 M23L114MD   -         251      5.39     16.35     60.00         4     16.95     60.00         4     19.05     60.00         4        12
 M23L180MD             292      6.78     27.06     60.00        75     26.81     60.00       126     27.66     60.00        74       275
 M23L180MD   -         292      6.78     27.36     60.00        33     26.96     60.00       107     27.35     60.00       119       259
 M23L106MI             251     12.81     37.85      9.00      1875     27.93    360.00        38     29.39     15.00       371      2284
 M23L106MO             251     12.58     28.94     14.00       281     28.11    360.00        24     41.88     10.00      1265      1570
 M23L107MI             251     11.29     39.16     20.00       657     26.63    360.00        26     29.26     24.00       242       925
 M23L107MO             251     11.05     28.99     26.00       155     26.85    360.00        24     42.31     20.00       647       826
 M23L105MI             251     11.11     34.58     12.00      1087     23.69    180.00        56     25.17     17.00       355      1498
 M23L105MO             251     10.08     21.23     13.00       297     21.06      0.00         0     32.93     13.00      1008      1305
 M23L86MI              292     14.25     57.36     16.00      1832     43.78     21.00      1646     50.43     18.00      1706      5184
 M23L86MO              292     14.43     48.68     15.00      1779     46.36     23.00      2155     62.84     15.00      2338      6272
 M23L310MI             292      7.64     36.45     40.00        33     33.65     30.00       162     35.75     18.00       234       429
 M23L311MI             292      7.72     32.64     60.00        18     25.05     30.00        78     36.01     60.00        25       121
 M23L312MI             251      8.43     26.41     30.00        32     23.65      0.00         0     28.73     48.00        24        56
 M23L312MO             251      8.20     26.27     46.00        20     22.49      0.00         0     26.50     30.00        92       112
 M23L313MD             292     14.21     71.68     45.00        93     56.94     45.00       135     73.79     45.00        90       318
 M23L314MD             292     14.57     74.63     45.00        60     56.48     45.00       133     71.37     45.00        95       288
 M23L315MO             292     20.03     69.31     26.00      1203     58.18     24.00      1535     83.45     22.00      1048      3786
 M23L315MI             292     20.00     85.19     18.00       873     63.17     24.00      1003     80.74     27.00       615      2491
 M23L316MO             292     15.27     55.06     26.00      1169     44.82     24.00      1258     65.79     30.00       579      3006
 M23L316MI             292     15.21     69.42     26.00       463     49.47     23.00       894     64.01     34.00       438      1795
 M23L317MD             292      7.60     41.52     20.00        42     37.20     12.00       319     41.59     12.00       132       493
 M23L317MD   -         292      7.60     40.66     20.00        81     37.13     12.00       231     42.02     12.00       151       463
 M23L318MI             292     13.23     59.19     45.00       176     55.56     60.00       179     66.10     60.00       171       526
 M23L318MO             292     13.18     62.66     60.00        97     55.35     60.00       221     61.34     60.00       164       482
 M23L319MI             292     12.24     55.75     60.00       155     50.92     60.00       197     58.62     48.00       245       597
 M23L319MO             292     12.19     53.43     60.00        94     49.49     45.00       361     57.14     60.00       142       597
 M23L320MI             292     11.76     48.49     45.00        80     39.64      0.00         0     43.08     60.00        78       158
 M23L321MO             292     20.06     78.47     36.00       146     77.39      0.00         0    107.24      0.00         0       146
 M23L322MI             292     12.06     39.61     20.00       794     25.65     20.00      1460     39.08     20.00      1098      3352
 M23L322MO             292     11.92     37.07     20.00       873     25.44     19.00      1233     34.41     22.00       843      2949
 M23L323MO             292      2.70     18.65      0.00         0     18.12     60.00         3     18.56     60.00         1         4
 M23L323MI             292      3.28     20.24      0.00         0     20.01     60.00        10     20.57     60.00        12        22
 M23L324MD             292      7.61     31.52     48.00        62     28.55     48.00       104     31.46     48.00        67       233
 M23L326MD             292      1.65      7.34      0.00         0      6.97     33.00        22      8.10      0.00         0        22
 M23L326MD   -         292      1.65      7.21      0.00         0      6.34     33.00        20      6.83      0.00         0        20
 M23L327MI             292     12.23     58.62     22.00       352     49.57     24.00       507     56.10     22.00       257      1116
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M23L327MO             292     12.32     52.05     24.00       231     49.67     24.00       456     62.99     24.00       342      1029
 M23L328MI             292      8.30     39.89     23.00        87     37.95     24.00       337     44.42     30.00       149       573
 M23L328MO             292      7.56     39.69     20.00       215     34.19     24.00       409     38.78     27.00       109       733
 M23L329MD             292     13.59     64.60     30.00       551     58.10     33.00       957     65.61     30.00       507      2015
 M23L329MD   -         292     13.59     62.13     30.00       404     58.20     40.00       821     68.70     24.00       807      2032
 M23L330MD             292     10.51     52.15     26.00       362     46.75     40.00       518     53.85     27.00       346      1226
 M23L330MD   -         292     10.51     50.31     26.00       279     46.83     40.00       521     55.80     30.00       397      1197
 M22L1MD               281      1.98      9.90      1.00      2769      9.90      1.00      2325      9.90      1.00      2264      7358
 M22L2MD               281      4.29     21.45      3.00      1700     21.45      3.00      2701     21.45      3.00      2009      6410
 M22L3MD               281      4.10     20.50      3.00      3511     20.50      3.00      3902     20.50      3.00      3627     11040
 M14L1MD               121     22.44     49.51      7.50      8124     49.51     15.00      7610     49.51      9.00      9376     25110
 M14L1MD     -         121     22.44     49.51      7.50      9360     49.51     15.00      7618     49.51      9.00      8988     25966
 M14L2MD               121     18.11     45.23      7.50      2460     45.23     15.00      4606     45.23      9.00      7088     14154
 M14L2MD     -         121     18.11     38.23      7.50      7544     38.23     15.00      4198     38.23      9.00      2808     14550
 M15L1S65              111     73.42    118.18     30.00      4120    118.18     60.00      2252    118.18     30.00      2264      8636
 M15L1S65    -         111     73.42    126.18     30.00      1564    126.18     60.00      1600    126.18     30.00      2444      5608
 M16L109MI             252     12.07     31.78     17.00       272     23.62      0.00         0     24.94    105.00         8       280
 M16L109MO             252     10.41     17.39     36.00         0     13.95      0.00         0     17.55     26.00        30        30
 M16L110MD             252     12.25     37.19     30.00       108     25.76      0.00         0     27.09      0.00         0       108
 M16L111MO             252     14.25     35.34     12.00        40     27.52     60.00       216     32.99     14.00       277       533
 M16L111MI             252     13.79     44.88      7.00       669     30.43     60.00       200     34.47     30.00        60       929
 M16L112MI             252     20.61     61.65    180.00         0     45.66      0.00         0     58.46      0.00         0         0
 M16L113MI             252     20.24     66.24     50.00       116     45.01      0.00         0     57.89      0.00         0       116
 M23L173MD             242     18.45     56.72     13.00      3360     56.62      0.00         0     56.65      0.00         0      3360
 M23L173MD-            242     18.45     56.59      0.00         0     56.59      0.00         0     56.77     12.00         0         0
 M23L17MD              242     19.32     67.56     11.00       680     67.49     15.00      2681     68.48     15.00      3980      7341
 M23L17MD    -         242     19.32     68.30     18.00      3141     67.49     15.00      3016     67.63     10.00      1384      7541
 M16L159BI             151     30.25     58.72     30.00      1238     49.67      0.00         0     56.07     70.00        58      1296
 M16L159BO             151     30.23     50.12     45.00        38     47.76      0.00         0     61.34     30.00       367       405
 M16L331MI             253     26.50     39.29     15.00       434     31.82      0.00         0     38.19      0.00         0       434
 M16L331MO             253     26.77     32.04     26.00        76     28.51      0.00         0     38.91      0.00         0        76
 M16L332MI             253     19.74     29.11     15.00       278     23.31      0.00         0     26.44      0.00         0       278
 M16L332MO             253     20.06     22.81     26.00        12     21.15      0.00         0     29.01      0.00         0        12
 M33L62BI              392     26.38    102.35     40.00       413     93.41     40.00       614    100.15     40.00       305      1332
 M16L161BI             151     27.50     48.65     18.00       351     38.95      0.00         0     44.27     70.00        12       363
 M16L161BO             151     27.91     39.04     45.00         4     36.78      0.00         0     49.25     23.00        41        45
 M16L160BI             151     21.12     38.33     16.00        74     29.62      0.00         0     32.98     21.00        34       108
 M16L160BO             151     19.37     28.11     30.00         6     27.27      0.00         0     37.67     17.50       124       130
 M16L114MI             252     21.98     68.02     45.00       183     44.81      0.00         0     49.77      0.00         0       183
 M16L114MO             252     22.93     57.41      0.00         0     43.54      0.00         0     55.87     45.00       171       171
 M16L333MO             253     27.31     35.80      0.00         0     32.26      0.00         0     42.66     16.00       538       538
 M16L334MO             253     20.60     26.57      0.00         0     24.90      0.00         0     32.76     16.00       266       266
 M16L333MI             253     25.96     34.78      0.00         0     27.32      0.00         0     33.69     35.00        84        84
 M16L334MI             253     19.20     25.35      0.00         0     19.56      0.00         0     22.69     30.00        40        40
SERPM 7.0 Transit Statistics                                

                                Dist   AM Time             AM Peak   OP Time            Off-Peak   PM Time             PM Peak     Daily
 Mode                        (Miles)     (Min)                 Pax     (Min)                 Pax     (Min)                 Pax       Pax

  111                         146.84    244.36                5684    244.36                3852    244.36                4708     14244
  121                          81.10    182.48               27488    182.48               24032    182.48               28260     79780
  151                         156.38    262.97                1711    230.05                   0    281.58                 636      2347
  191                         153.50    632.71                1170    598.99                 439    648.03                1101      2710
  192                          14.76     67.64                 164     55.65                 164     65.54                 164       492
  242                         127.17    422.21                9660    402.92                7456    428.13                7964     25080
  251                         144.35    428.97                4832    376.73                 180    447.37                4464      9476
  252                         201.00    590.70                1388    428.53                 416    519.64                 596      2400
  253                         186.14    245.75                 800    208.83                   0    264.35                 928      1728
  281                          10.37     51.85                7980     51.85                8928     51.85                7900     24808
  292                        2696.86  12938.78               75534  11383.82              123423  13389.35               85244    284201
  351                         158.72    456.61                3796    405.53                   0    496.20                4244      8040
  391                          40.06    130.96                 236    122.95                 288    135.67                 244       768
  392                        1826.42   7307.18               32081   6737.75               57868   7621.49               37847    127796
  451                         112.48    153.70                  32    148.63                  36    161.74                  32       100
  492                        1197.33   3968.16               17119   3888.04               29160   4044.40               20575     66854
