service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150621,20151231
2,0,0,0,0,0,1,0,20150621,20151231
3,0,0,0,0,0,0,1,20150621,20151231
6,1,1,1,1,1,0,0,20150621,20151231
7,0,0,0,0,0,1,0,20150621,20151231
8,0,0,0,0,0,0,1,20150329,20151231
11,1,1,1,1,1,0,0,20150621,20151231
12,0,0,0,0,0,1,0,20150621,20151231
13,0,0,0,0,0,0,1,20150621,20151231
601,0,0,0,1,0,0,0,20150621,20151231
501,1,1,1,0,1,0,0,20150621,20151231
