"Origin_Zone","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
18,59.97,4251.46,NA,42.44,35.72,60.34,34.57,62.15,127.03,6842.53,1160.09,74.64,225.17,296.81,66.7,107.51,233.54,5169.65,91.41,142.67,152.44,NA,16.21,236.08,23.28,21.82,86.5,8.06,12.01,NA,NA,5.83,NA,6.97,3.48,6.36,NA,NA,3.48,5.4
19,127.26,2814.2,111.9,61.33,18.83,207.66,163.28,121.03,519.91,2546.87,1812.13,453.98,511.76,457.5,345.24,324.2,1165.81,79.97,2579.72,57.56,124.36,88.01,115.19,806.3,287.21,31.11,81.13,10.08,44.61,96.28,70.2,28.17,45.89,79.73,7.61,45.36,21.3,27.78,19.44,35.64
20,346.95,3684.22,264.26,280.38,74.1,712.3,794.95,363.8,1206.89,4715.44,3307.66,1107.38,1483.48,1360.33,1347.35,1192.33,3481.84,112.14,82.8,2585.55,77.63,170.71,227.5,657.63,285.44,31.07,49.83,148.63,247.83,365.63,309.93,103.25,58.72,88.06,113.34,193.83,16.12,29.66,30.44,15.76
21,762.64,3965.25,135.76,115.64,78.26,520.43,635.55,365.01,2048.14,3568.73,2473.79,420.49,2455.11,2344.06,1346.84,947.8,4830.38,129.34,71.54,108.63,5164.69,168.61,265.68,1395.13,403.14,154.03,111.7,94.27,199.59,333.15,346.12,128.69,118.71,95.22,134.3,189.93,40.64,38.22,52.78,31.78
22,6.87,382.12,17.97,NA,NA,95.02,99.07,34.83,360.59,360.4,872.58,448.1,256.13,1297.95,291.31,470.86,1118.07,20.45,110.28,152.01,156.33,1261.21,95.85,113.04,203.9,133.86,79.68,17.55,39.37,114.87,81.04,39.51,71.72,117.37,35.44,76.36,22.19,4.66,27.45,31.94
23,74.41,734.51,60.46,88.91,51.38,196.13,129.42,80.12,378.14,693.55,1054.67,287.95,392.34,794.4,503.45,447.58,1285.52,6.64,79.61,195.79,343.63,73.87,1167.91,228.14,460.75,54.16,21.64,27.45,64.73,34.68,208.87,102.29,35.46,71.13,42.53,34.92,17.48,13.42,28.55,20.37
24,305.15,8441.04,336.78,403.58,135.66,183.02,462.56,241.44,1105.43,3214.73,2602.83,700.5,1167.88,4081.36,1284.09,578.91,2181.34,149.43,329.34,500.75,1088.13,35.89,100.43,2017.12,548.86,103.49,79.06,12.28,111.52,122.78,199.7,53.8,155.38,211.5,170.98,157.16,45.91,41.13,239.59,51.9
25,176.48,2777.46,204.13,345.33,215.76,500.77,454.81,389.48,877.4,1841.38,3599.78,983.44,1098.3,4148.31,2064.05,1342.24,3034.76,86.92,267.58,467.79,721.18,145.64,305.6,327,3368.46,241.84,198.68,105.63,197.05,271.62,264.92,129.95,141.62,518.19,302.01,307.55,64.37,81.8,137.02,87.75
26,222.79,998.18,7.72,25.62,53.21,114.43,218.07,96.57,585.88,1445.29,1102.28,594.85,749.59,933.7,530.78,508.38,1487.78,24.7,16.02,63.87,180.63,120.81,69.08,174.71,239.83,2011.33,28.61,NA,154.35,179.2,410.9,74.7,200.71,241.41,54.3,53.01,11.75,88.82,38.25,45.19
27,184.5,406.57,20.92,9.66,5.89,171.22,111.03,25.72,275.85,402.33,747.59,224.5,382.69,554.59,229.47,220.67,974.74,6.56,48.23,35.01,66.2,203.3,30.55,53.24,188.63,85.22,853.84,28.78,11.35,138.4,187.88,87.39,36.87,188.36,66.43,35.41,29.73,26.05,42.74,18.99
28,23.53,205.77,6.15,16.97,NA,12.3,17.78,26.63,123,189.06,244.03,114.32,218.94,313.18,67.68,98.31,458.74,3.12,20.15,183,105.74,9.03,22.87,29.73,100.36,NA,NA,428.86,17.44,4.08,179.93,18.41,82.31,54.51,14.34,43.48,51.64,17.14,31.61,NA
29,43.98,333.38,8.94,148.94,3.39,98.48,40.25,18.91,407.82,415.64,552.9,268.95,398.85,538.43,197,242,967.92,7.41,92.33,273.77,195.68,36.38,55.49,96.91,164.1,183.32,16.65,21.52,1004.95,11.35,68.02,68.93,88.31,153.65,49.21,102.18,67.86,12.43,26.09,NA
30,50.99,500.48,54.55,63.57,28.27,178.68,277.03,39.82,533.39,546.48,1071.01,364.4,516.5,899.31,442.07,543.89,1660.13,8.74,76.02,230.34,449.48,57.7,44.19,116.13,160.35,272.06,89.14,15.24,56.49,1588.29,105.59,155.92,140.99,224.02,43.68,136.01,79.56,19.64,33.07,20.02
31,250.13,586.8,67.51,205.49,103.54,250.55,335.41,104.18,716.12,594.72,2007.15,354.84,787.96,1930.67,864.12,880.52,2730.85,5.05,101.15,283.21,325.08,32.59,217.44,254.8,265.51,218.6,233.86,123.67,95.72,85.63,2026.58,85.21,516.75,560.24,100.38,211.21,59.18,67.17,98.73,111.59
32,93.68,159.78,8.98,16.66,18.56,68.13,198.35,23.72,162.52,206.07,633.48,167.07,249.32,1011.7,315.12,290.16,988.97,4.79,36.26,157.61,95.81,74.77,63.42,68.98,61.97,44.27,163.6,10.02,79.6,130.03,197.71,1157.57,89.03,196.34,102.98,161.42,8.47,29.84,49.13,44.17
33,60.09,134.05,19.99,34.05,12,54.39,221.45,73.95,263.41,110.67,691.93,76.77,345.37,956.97,486.01,556.11,961.72,7.08,21.1,84.07,46.63,50.07,38.97,166.26,111.97,88.46,58.15,67.29,10.16,124.61,333.95,20.09,1606.72,106.96,116.18,257.57,66.04,34.44,52.28,65.35
34,22,330.78,41.36,142.4,42.77,304.79,370.08,101.48,408.78,186.9,1726.33,442.54,434.53,2230.64,1265.69,1695.93,1436.97,27.6,52.9,172.43,104.08,82.97,35.94,234.51,420.67,244.89,122.08,38.49,184.29,189.59,548.79,166.21,91.04,1620.98,100.33,232.72,148.77,218.06,189.69,83.26
35,13.14,121.65,50.89,39.37,18.2,143.7,267.61,126.27,276.31,212.11,662.07,285.28,245.01,1162.59,645.5,1304.69,878.32,9.03,54.94,145.33,127.99,58.26,40.24,179.36,212.66,63.19,4.78,29.4,20.19,65.11,58.03,115.38,81.37,25.92,1216.47,41.3,56.14,168.74,145.25,45.23
36,36.74,386.01,43.84,148.24,49.91,286.32,495.29,121.19,215.82,321.8,1069.37,209.27,584.19,2533.6,1513.21,1745.61,1482.36,NA,84.1,189.12,235.2,70.61,64.5,117.51,238.39,36.62,12.32,38.53,79.18,170.22,351.79,183.06,173.6,202.47,73.03,2076.16,70.55,274.05,363.82,197.7
37,48.57,66.67,4.45,24.78,13.18,138.45,22.7,21.49,78.28,144.15,328.74,37.28,76.73,904.42,934.82,451.94,390.32,NA,19.53,8.01,28.72,6.59,40.15,33.03,65.29,11.17,33.42,12.91,95.25,31.66,53.69,22.32,37.68,124.01,57.75,33.36,1033.49,83.68,74.8,101.45
38,11.31,43.32,46.72,73.12,30.09,182.15,121.52,52.64,64.44,181.23,469.47,92.51,25.47,1173.58,860.53,719.58,274.69,8.19,3.25,60.28,40.63,67.03,10.62,23.91,48.06,22.28,30.87,6.97,5.72,22.83,119.2,9.24,28.79,122.94,78.67,316.75,146.25,1228.69,130.62,47.18
39,27.66,318.83,102.08,260.31,167.37,274.21,306.73,106.78,240.74,233.12,1194.93,150.92,141.42,2082.27,1849.97,1500.69,745.04,8.44,30.92,46.54,133.93,30.26,16.62,296.6,107.51,26.65,132.94,2.73,11.58,41.06,90.8,24.21,62.73,95.15,212.54,308.67,71.55,120.03,2266.23,126.11
40,12.03,150.14,27.18,51.48,29.06,190.19,179.34,136.61,190.34,153.43,669.56,77.88,122.05,1995.54,1936.74,892.24,801.02,NA,19.03,19.56,31.35,8.33,20.31,400.72,106.75,47.96,28.17,NA,8.45,103.76,161.21,42.61,24.82,114.01,40.27,244.59,99.24,35.64,129.3,1660.46
