X,Y,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,OBJECTID,PlnArea,TAZ,SqMiles,OID_,TAZCE10,PLNAREA_1,SQMILE,TOTPOP,TOTHH,MALE,FEMALE,NOCHLDHH,CHILDHH,HH1PER,HH2PER,HH3PER,HH4PLPER,HH0WORK,HH1WORK,HH2WORK,HH3PLWRK,HHINSTGQ,HHGQUNI,HHGQOTH,SNGFAM,MULTFAM,MOBOTH,P0TO5,P6TO13,P14TO17,P18TO24,P25TO34,P35TO49,P50TO64,P65TO79,P80PLUS,LESS25K,N25TO50K,N50TO75K,N75TO100K,OVER100K,HISP,NONHISPW,NONHISPO,WRKUNEMP,WRKWHCOL,WRKSERV,WRKRET,WRKBLCOL,TOTWORK,POPDEN,HHDEN,WORKDEN,EMPLOYED,EMPDEN,WORKAGE,AGEDEN,OCCHOUSE,OCCDEN,CHILDDEN,POPHH,WORKHH,Shape_Leng,Shape_Area,TAD,TAS,TASD,age0_18,age19_35,age36_49,age50_65,age65older,district_e
-80.3236991798304,25.6073574322579,1400000US12086008209,12,086,008209,82.09,Tract,1.6860000000,156,South,1138.0000000000,0.8239023886,1137,1138.0000000000,South,0.8200000000,440.0000000000,168.0000000000,226.0000000000,214.0000000000,118.0000000000,50.0000000000,24.0000000000,72.0000000000,42.0000000000,30.0000000000,20.0000000000,50.0000000000,90.0000000000,8.0000000000,0.0000000000,0.0000000000,0.0000000000,168.0000000000,0.0000000000,0.0000000000,22.0000000000,36.0000000000,28.0000000000,25.0000000000,24.0000000000,82.0000000000,139.0000000000,70.0000000000,14.0000000000,0.0000000000,0.0000000000,0.0000000000,28.0000000000,140.0000000000,137.0000000000,266.0000000000,37.0000000000,16.0000000000,136.0000000000,0.0000000000,45.0000000000,27.0000000000,224.0000000000,534.0400000000,203.9100000000,271.8800000000,208.0000000000,252.4600000000,270.0000000000,327.7100000000,168.0000000000,203.9100000000,60.6900000000,2.6200000000,1.3300000000,0.0822417946,0.0001919175,0,27,13,86,49,82,139,84,8
-80.3714512437946,25.633929927942,1400000US12086008304,12,086,008304,83.04,Tract,1.4720000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3513677471166,25.6378213573622,1400000US12086008305,12,086,008305,83.05,Tract,1.3240000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3542970762717,25.6210073817297,1400000US12086008306,12,086,008306,83.06,Tract,1.2300000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3713131685841,25.6056932743664,1400000US12086008308,12,086,008308,83.08,Tract,0.8080000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3576339442056,25.6064589525172,1400000US12086008309,12,086,008309,83.09,Tract,0.9480000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3493458278471,25.6751442720149,1400000US12086008405,12,086,008405,84.05,Tract,2.4800000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3471082971568,25.6946618702206,1400000US12086008407,12,086,008407,84.07,Tract,1.5420000000,4,West,1000.0000000000,0.0442486426,999,1000.0000000000,West,0.0400000000,82.0000000000,21.0000000000,40.0000000000,42.0000000000,14.0000000000,7.0000000000,1.0000000000,5.0000000000,3.0000000000,12.0000000000,6.0000000000,6.0000000000,6.0000000000,3.0000000000,0.0000000000,0.0000000000,0.0000000000,21.0000000000,0.0000000000,0.0000000000,2.0000000000,7.0000000000,2.0000000000,11.0000000000,10.0000000000,14.0000000000,19.0000000000,14.0000000000,3.0000000000,4.0000000000,7.0000000000,5.0000000000,0.0000000000,5.0000000000,78.0000000000,4.0000000000,0.0000000000,5.0000000000,11.0000000000,7.0000000000,9.0000000000,9.0000000000,41.0000000000,1853.1600000000,474.5900000000,926.5800000000,36.0000000000,813.5800000000,54.0000000000,1220.3800000000,21.0000000000,474.5900000000,158.2000000000,3.9000000000,1.9500000000,0.0133221868,0.0000103179,0,22,10,11,21,14,19,17,16
-80.3395456737433,25.6556156833157,1400000US12086008409,12,086,008409,84.09,Tract,2.0920000000,11,Central,1007.0000000000,0.8783474637,1006,1007.0000000000,Central,0.8800000000,2063.0000000000,770.0000000000,997.0000000000,1066.0000000000,537.0000000000,233.0000000000,178.0000000000,241.0000000000,166.0000000000,185.0000000000,201.0000000000,295.0000000000,232.0000000000,42.0000000000,0.0000000000,0.0000000000,0.0000000000,603.0000000000,162.0000000000,5.0000000000,112.0000000000,177.0000000000,103.0000000000,174.0000000000,258.0000000000,452.0000000000,450.0000000000,253.0000000000,84.0000000000,166.0000000000,84.0000000000,101.0000000000,84.0000000000,335.0000000000,1549.0000000000,457.0000000000,57.0000000000,103.0000000000,804.0000000000,67.0000000000,69.0000000000,71.0000000000,1114.0000000000,2348.7300000000,876.6500000000,1268.2900000000,1011.0000000000,1151.0300000000,1334.0000000000,1518.7600000000,770.0000000000,876.6500000000,265.2700000000,2.6800000000,1.4500000000,0.0631106494,0.0002047465,0,21,12,392,432,452,450,337,7
-80.3773349136625,25.6920063147477,1400000US12086008412,12,086,008412,84.12,Tract,1.0420000000,4,West,1000.0000000000,0.0442486426,999,1000.0000000000,West,0.0400000000,82.0000000000,21.0000000000,40.0000000000,42.0000000000,14.0000000000,7.0000000000,1.0000000000,5.0000000000,3.0000000000,12.0000000000,6.0000000000,6.0000000000,6.0000000000,3.0000000000,0.0000000000,0.0000000000,0.0000000000,21.0000000000,0.0000000000,0.0000000000,2.0000000000,7.0000000000,2.0000000000,11.0000000000,10.0000000000,14.0000000000,19.0000000000,14.0000000000,3.0000000000,4.0000000000,7.0000000000,5.0000000000,0.0000000000,5.0000000000,78.0000000000,4.0000000000,0.0000000000,5.0000000000,11.0000000000,7.0000000000,9.0000000000,9.0000000000,41.0000000000,1853.1600000000,474.5900000000,926.5800000000,36.0000000000,813.5800000000,54.0000000000,1220.3800000000,21.0000000000,474.5900000000,158.2000000000,3.9000000000,1.9500000000,0.0133221868,0.0000103179,0,22,10,11,21,14,19,17,16
