Origin_Zone,Destination_Zone,Start_date,End_Date,Purpose,Time_of_Day,Subscriber_Class,Count,SZCount
20,31,20150401,20150430,H00:H24,NHB,Resident,265.93,68.94
11,14,20150401,20150430,H00:H24,HBW,Resident,28090.54,295.98
15,9,20150401,20150430,H00:H24,NHB,Resident,3228.45,154.66
9,24,20150401,20150430,H00:H24,NHB,Visitor,2411.58,347.62
4,15,20150401,20150430,H00:H24,HBW,Resident,1376.75,7.69
16,4,20150401,20150430,H00:H24,HBO,Resident,2137.31,56.06
25,30,20150401,20150430,H00:H24,NHB,Visitor,93.87,7.22
30,10,20150401,20150430,H00:H24,NHB,Visitor,152.24,29.00
14,16,20150401,20150430,H00:H24,NHB,Resident,14452.32,2095.69
16,11,20150401,20150430,H00:H24,HBO,Resident,7662.80,843.67
24,17,20150401,20150430,H00:H24,NHB,Visitor,4585.09,743.15
36,17,20150401,20150430,H00:H24,HBO,Resident,1393.57,218.72
17,36,20150401,20150430,H00:H24,HBO,Resident,1341.56,164.65
5,17,20150401,20150430,H00:H24,NHB,Visitor,453.28,15.11
15,14,20150401,20150430,H00:H24,NHB,Visitor,4181.68,527.78
14,35,20150401,20150430,H00:H24,HBO,Resident,1261.30,183.33
6,15,20150401,20150430,H00:H24,HBW,Resident,8170.52,12.96
14,6,20150401,20150430,H00:H24,HBO,Resident,2713.65,349.97
14,25,20150401,20150430,H00:H24,NHB,Resident,2663.52,527.56
25,11,20150401,20150430,H00:H24,NHB,Resident,2529.02,501.84
17,15,20150401,20150430,H00:H24,NHB,Resident,14040.66,1048.00
7,15,20150401,20150430,H00:H24,HBO,Resident,8387.90,37.90
15,7,20150401,20150430,H00:H24,HBO,Resident,8453.96,125.06
7,14,20150401,20150430,H00:H24,HBW,Resident,2654.30,181.12
14,18,20150401,20150430,H00:H24,NHB,Resident,306.24,12.01
18,14,20150401,20150430,H00:H24,NHB,Resident,148.25,9.88
14,7,20150401,20150430,H00:H24,HBW,Resident,2207.01,196.18
17,11,20150401,20150430,H00:H24,HBO,Resident,9536.60,1576.24
11,17,20150401,20150430,H00:H24,HBO,Resident,9682.41,1167.99
17,14,20150401,20150430,H00:H24,HBO,Resident,6282.78,1150.61
7,17,20150401,20150430,H00:H24,HBO,Resident,6406.59,109.61
17,9,20150401,20150430,H00:H24,HBO,Resident,12188.03,337.56
17,7,20150401,20150430,H00:H24,HBO,Resident,6258.89,139.56
14,12,20150401,20150430,H00:H24,NHB,Visitor,1373.13,126.04
2,10,20150401,20150430,H00:H24,NHB,Visitor,36070.80,506.63
2,10,20150401,20150430,H00:H24,HBO,Resident,18530.98,274.45
24,2,20150401,20150430,H00:H24,NHB,Visitor,29284.03,3206.08
15,16,20150401,20150430,H00:H24,HBO,Resident,26604.73,866.66
16,15,20150401,20150430,H00:H24,HBO,Resident,27861.92,610.16
33,36,20150401,20150430,H00:H24,HBO,Resident,287.50,22.12
36,33,20150401,20150430,H00:H24,HBO,Resident,183.65,27.21
17,15,20150401,20150430,H00:H24,HBO,Resident,10493.05,705.26
15,17,20150401,20150430,H00:H24,HBO,Resident,10671.93,839.09
12,11,20150401,20150430,H00:H24,HBO,Resident,24373.07,251.76
11,12,20150401,20150430,H00:H24,HBO,Resident,24286.75,309.54
11,23,20150401,20150430,H00:H24,HBO,Resident,1117.58,113.77
23,14,20150401,20150430,H00:H24,NHB,Resident,708.22,252.08
14,11,20150401,20150430,H00:H24,HBW,Resident,24619.23,331.14
40,16,20150401,20150430,H00:H24,HBO,Resident,938.32,135.60
16,15,20150401,20150430,H00:H24,NHB,Resident,28076.69,625.23
15,17,20150401,20150430,H00:H24,NHB,Resident,9916.48,845.59
6,17,20150401,20150430,H00:H24,NHB,Resident,4333.42,163.93
17,16,20150401,20150430,H00:H24,NHB,Resident,19928.78,968.58
16,40,20150401,20150430,H00:H24,HBO,Resident,982.96,82.37
11,39,20150401,20150430,H00:H24,HBW,Resident,878.03,79.82
39,11,20150401,20150430,H00:H24,HBW,Resident,913.15,109.85
11,3,20150401,20150430,H00:H24,NHB,Visitor,1491.11,159.24
9,17,20150401,20150430,H00:H24,HBO,Resident,12009.01,301.36
20,11,20150401,20150430,H00:H24,NHB,Resident,3154.94,192.04
11,20,20150401,20150430,H00:H24,NHB,Resident,2161.50,155.40
16,39,20150401,20150430,H00:H24,HBO,Resident,1318.10,151.82
39,16,20150401,20150430,H00:H24,HBO,Resident,1423.27,250.32
33,23,20150401,20150430,H00:H24,NHB,Visitor,27.69,6.92
23,33,20150401,20150430,H00:H24,NHB,Visitor,17.71,5.90
11,13,20150401,20150430,H00:H24,HBW,Resident,9385.51,276.28
13,10,20150401,20150430,H00:H24,NHB,Resident,9675.46,265.99
13,2,20150401,20150430,H00:H24,HBO,Resident,5422.29,210.24
2,13,20150401,20150430,H00:H24,HBO,Resident,5225.71,176.74
17,4,20150401,20150430,H00:H24,HBO,Resident,1561.86,27.77
4,17,20150401,20150430,H00:H24,HBO,Resident,1707.80,55.76
6,15,20150401,20150430,H00:H24,HBO,Resident,14487.38,122.23
15,6,20150401,20150430,H00:H24,HBO,Resident,15059.40,124.84
6,11,20150401,20150430,H00:H24,HBW,Resident,1065.07,34.81
11,6,20150401,20150430,H00:H24,HBW,Resident,1076.42,72.20
9,17,20150401,20150430,H00:H24,NHB,Visitor,7058.06,147.63
17,9,20150401,20150430,H00:H24,NHB,Visitor,7200.96,247.33
9,16,20150401,20150430,H00:H24,NHB,Visitor,943.24,27.54
33,16,20150401,20150430,H00:H24,NHB,Resident,313.24,34.05
10,16,20150401,20150430,H00:H24,HBO,Resident,2530.98,375.41
16,10,20150401,20150430,H00:H24,HBO,Resident,2364.41,286.42
15,6,20150401,20150430,H00:H24,NHB,Resident,15577.08,120.70
6,15,20150401,20150430,H00:H24,NHB,Resident,13999.95,140.47
7,16,20150401,20150430,H00:H24,NHB,Resident,10857.72,118.30
35,30,20150401,20150430,H00:H24,NHB,Resident,73.10,29.24
30,17,20150401,20150430,H00:H24,NHB,Resident,1228.90,211.88
15,14,20150401,20150430,H00:H24,HBO,Resident,13744.74,1628.52
25,21,20150401,20150430,H00:H24,NHB,Visitor,752.98,172.70
10,16,20150401,20150430,H00:H24,HBW,Resident,1262.43,162.21
16,10,20150401,20150430,H00:H24,HBW,Resident,1241.47,168.33
