Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
15,14,20150401,20150430,H07:H10,HBO,Resident,2932.24,403.5771183
13,24,20150401,20150430,H16:H19,NHB,Visitor,552.17,59.69405405
11,2,20150401,20150430,H07:H10,HBW,Resident,2709.42,15.05233333
15,6,20150401,20150430,H07:H10,HBW,Resident,2510.17,12.3047549
4,14,20150401,20150430,H07:H10,HBW,Resident,723.31,44.10426829
16,14,20150401,20150430,H07:H10,HBW,Resident,3938.43,363.9473267
10,20,20150401,20150430,H07:H10,HBW,Resident,2220.67,31.49886525
14,17,20150401,20150430,H07:H10,HBW,Resident,1397.05,145.1480519
15,6,20150401,20150430,H16:H19,HBO,Resident,3323.46,26.32443564
14,36,20150401,20150430,H16:H19,NHB,Resident,935.47,69.52817568
10,20,20150401,20150430,H07:H10,NHB,Visitor,676.16,57.54553191
9,11,20150401,20150430,H07:H10,NHB,Resident,399.51,71.9118
14,5,20150401,20150430,H16:H19,NHB,Visitor,439.77,20.61421875
9,16,20150401,20150430,H07:H10,HBW,Resident,703.81,6.22840708
14,16,20150401,20150430,H16:H19,HBO,Resident,2292.05,335.950591
11,9,20150401,20150430,H07:H10,HBO,Resident,976.39,96.15962121
17,13,20150401,20150430,H16:H19,NHB,Resident,1133.45,241.6492386
21,13,20150401,20150430,H16:H19,HBW,Resident,246.45,22.40454545
15,6,20150401,20150430,H16:H19,NHB,Visitor,346.19,6.6575
14,11,20150401,20150430,H16:H19,NHB,Visitor,3291,62.88535032
18,10,20150401,20150430,H16:H19,NHB,Resident,957.39,6.216818182
15,38,20150401,20150430,H07:H10,NHB,Resident,134.85,36.77727273
15,2,20150401,20150430,H07:H10,HBO,Resident,522.59,98.36988235
12,11,20150401,20150430,H16:H19,HBO,Resident,5410.88,15.84445095
13,12,20150401,20150430,H07:H10,NHB,Visitor,131.31,6.911052632
13,12,20150401,20150430,H16:H19,NHB,Visitor,213.97,20.70677419
24,9,20150401,20150430,H07:H10,NHB,Visitor,226.61,42.489375
16,38,20150401,20150430,H07:H10,HBO,Resident,150.33,60.132
13,17,20150401,20150430,H07:H10,HBW,Resident,901.22,110.0726718
13,2,20150401,20150430,H16:H19,NHB,Visitor,1992.64,71.86570492
12,13,20150401,20150430,H07:H10,HBO,Resident,903.74,62.63544554
17,38,20150401,20150430,H16:H19,NHB,Resident,306.32,52.8137931
9,2,20150401,20150430,H07:H10,HBW,Resident,451.97,39.547375
15,24,20150401,20150430,H07:H10,HBW,Resident,298.05,25.36595745
24,16,20150401,20150430,H16:H19,NHB,Resident,98.1,16.35
15,16,20150401,20150430,H07:H10,HBW,Resident,6502.24,86.16627931
14,15,20150401,20150430,H07:H10,NHB,Visitor,605.59,35.62294118
24,11,20150401,20150430,H07:H10,HBO,Resident,159.31,30.83419355
2,11,20150401,20150430,H07:H10,HBO,Resident,844.77,36.9586875
16,34,20150401,20150430,H07:H10,NHB,Resident,262.66,57.65707317
34,11,20150401,20150430,H07:H10,NHB,Resident,331.94,76.06958333
17,15,20150401,20150430,H07:H10,HBW,Resident,715.38,5.677619048
17,2,20150401,20150430,H16:H19,NHB,Resident,1100.66,199.1143719
11,2,20150401,20150430,H07:H10,HBO,Resident,1788.47,95.67946502
